"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.53	-9	4	-9	4
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.57	-6	3	-6	3
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.6	-3	2	-3	2
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.63	-1	2	-1	2
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.67	-1	1	-1	1
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.7	-1	0	-1	0
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.73	-1	-2	-1	-2
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.77	-1	-4	-1	-4
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.8	0	-4	0	-4
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.83	0	-2	0	-2
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.87	0	3	0	3
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.9	0	15	0	15
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.93	1	47	1	47
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065160.97	4	81	4	81
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161	9	111	9	111
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.03	16	148	16	148
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.07	19	182	19	182
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.1	22	224	22	224
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.13	21	262	21	262
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.17	20	297	20	297
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.2	19	328	19	328
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.23	18	352	18	352
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.27	16	379	16	379
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.3	14	398	14	398
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.33	13	412	13	412
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.37	10	431	10	431
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.4	8	444	8	444
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.43	6	455	6	455
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.47	6	460	6	460
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.5	6	465	6	465
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.53	6	469	6	469
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.57	6	471	6	471
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.6	6	471	6	471
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.63	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.67	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.7	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.73	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.77	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.8	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.83	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.87	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.9	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.93	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065161.97	6	472	6	472
11	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065162	6	472	6	472
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.48	2	5	2	5
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.5	1	3	1	3
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.53	0	-2	0	-2
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.57	-2	-7	-2	-7
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.6	-2	-9	-2	-9
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.63	-3	-10	-3	-10
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.67	-3	-10	-3	-10
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.7	-3	-10	-3	-10
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.73	-3	-10	-3	-10
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.77	-3	-9	-3	-9
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.8	-6	-5	-6	-5
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.84	-13	3	-13	3
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.87	-28	19	-28	19
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.9	-55	50	-55	50
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.94	-86	87	-86	87
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065163.97	-115	118	-115	118
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164	-152	147	-152	147
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.04	-186	172	-186	172
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.07	-209	193	-209	193
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.1	-231	215	-231	215
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.14	-251	235	-251	235
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.17	-261	247	-261	247
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.2	-275	263	-275	263
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.24	-284	271	-284	271
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.27	-292	280	-292	280
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.3	-297	286	-297	286
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.34	-303	293	-303	293
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.37	-310	303	-310	303
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.4	-316	311	-316	311
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.44	-324	321	-324	321
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.47	-331	330	-331	330
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.5	-336	339	-336	339
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.54	-340	346	-340	346
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.57	-343	350	-343	350
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.6	-344	353	-344	353
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.64	-343	356	-343	356
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.67	-343	359	-343	359
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.7	-341	362	-341	362
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.74	-340	364	-340	364
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.77	-339	365	-339	365
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.8	-339	365	-339	365
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.84	-339	365	-339	365
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.87	-337	367	-337	367
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.9	-333	369	-333	369
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.94	-328	372	-328	372
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065164.97	-325	374	-325	374
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165	-320	377	-320	377
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.04	-317	379	-317	379
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.07	-316	379	-316	379
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.1	-315	380	-315	380
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.14	-313	381	-313	381
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.17	-312	381	-312	381
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.2	-311	382	-311	382
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.24	-310	382	-310	382
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.27	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.3	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.34	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.37	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.4	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.44	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.47	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.5	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.54	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.57	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.6	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.64	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.67	-309	383	-309	383
11	"1"	"1"	2	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1552065165.7	-309	383	-309	383
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065166.82	-3	0	-3	0
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065166.84	-3	-4	-3	-4
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065166.87	-3	-5	-3	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065166.9	-3	-5	-3	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065166.94	-3	-5	-3	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065166.97	-2	-5	-2	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167	-2	-5	-2	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.04	-2	-5	-2	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.07	-2	-5	-2	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.1	-2	-5	-2	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.14	-1	-5	-1	-5
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.17	2	0	2	0
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.2	13	17	13	17
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.24	37	49	37	49
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.27	66	88	66	88
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.3	94	122	94	122
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.34	125	158	125	158
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.37	155	188	155	188
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.4	178	209	178	209
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.44	203	232	203	232
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.47	222	252	222	252
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.5	234	263	234	263
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.54	249	279	249	279
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.57	261	293	261	293
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.6	268	304	268	304
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.64	274	313	274	313
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.67	280	322	280	322
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.7	285	329	285	329
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.74	290	336	290	336
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.77	294	343	294	343
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.8	296	347	296	347
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.84	297	349	297	349
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.87	297	349	297	349
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.9	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.94	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065167.97	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.04	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.07	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.1	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.14	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.17	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.2	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.24	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.27	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.3	298	350	298	350
11	"1"	"1"	3	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1552065168.34	298	350	298	350
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.62	-5	4	-5	4
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.64	-5	1	-5	1
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.67	-4	-3	-4	-3
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.71	-1	-6	-1	-6
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.74	1	-7	1	-7
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.77	1	-7	1	-7
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.81	2	-7	2	-7
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.84	3	-6	3	-6
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.87	3	-6	3	-6
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.91	3	-5	3	-5
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.94	3	-1	3	-1
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065169.97	2	17	2	17
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065170.01	2	46	2	46
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065170.04	-1	83	-1	83
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065170.07	-5	120	-5	120
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065170.11	-8	152	-8	152
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065170.14	-8	190	-8	190
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065170.17	-5	226	-5	226
11	"1"	"1"	4	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1552065170.21	-2	259	-2	259
